ftalk	stalk
todav	today
ok	ok
i	i
be	be
not	not
in	in
a	a
lurry	hurry
geolgc	george
ellf	ellis
fay	say
one	one
recent	recent
sundav	sunday
as	as
he	he
aatch	watch
the	the
traffic	traffic
move	move
past	past
hif	his
uptoin	uptown
sit	site
moft	most
peddler	peddler
if	if
they	they
havc	have
thc	the
clance	chance
would	would
fave	save
up	up
mnev	money
fo	so
tley	they
coud	could
open	open
a	a
store	store
they	they
want	want
to	to
get	get
off	off
the	the
street	street
i	i
have	have
no	no
defire	desire
to	to
leave	leave
the	the
strect	street
a	a
retail	retail
ftore	store
mean	mean
overlead	overhead
tension	tension
out	out
bere	here
a	a
good	good
bufineff	business
day	day
be	be
a	a
relax	relax
day	day
you	you
d	do
nt	nt
need	need
to	to
fell	sell
a	a
gorlla	gorilla
to	to
bave	have
a	a
good	good
businefl	business
dav	day
in	in
addition	addition
to	to
tbe	the
gorla	gorilla
geoige	george
ellis	ellis
set	set
out	out
two	two
roa	row
ol	of
cardboard	cardboard
carton	carton
on	on
tle	the
fdcwalk	sidewalk
and	and
lav	lay
plyiood	plywood
sbeet	sheet
acrosf	across
tlem	them
to	to
create	create
fhelf	shelf
tlen	then
be	he
liberate	liberate
tle	the
otlcr	other
animau	animal
from	from
hif	his
buf	bus
larbcrthanlic	largerthanlife
fenc	fence
along	along
with	with
nol	not
quite	quite
lifesizb	lifesize
pony	pony
and	and
bavarian	bavarian
hear	bear
small	small
creatnre	creature
puppy	puppy
rabblt	rabbit
teddy	teddy
bear	bear
lamb	lamb
sit	sit
atcp	atop
the	the
front	front
row	row
of	of
farton	carton
giant	giant
frog	frog
and	and
panda	panda
lean	lean
againft	against
thefe	these
iarton	carton
the	the
ncw	new
yorker	yorker
predatr	predator
pauther	panther
liger	tiger
lion	lion
heopard	leopard
grizzly	grizzly
congregate	congregate
n	in
onc	one
sjot	spot
accompanv	accompany
hy	by
eleplant	elephant
camel	camel
giraffc	giraffe
and	and
kangaroo	kangaroo
the	the
gorilla	gorilla
hring	bring
th	the
entirc	entire
menagerie	menagerie
into	into
focus	focus
you	you
can	can
nt	nt
misf	miss
the	the
gorilla	gorilla
if	if
tbe	the
gorilla	gorilla
ftand	stand
up	up
instead	instead
of	of
llt	tilt
and	and
halande	balance
on	on
itf	its
iist	fist
it	it
would	would
be	be
fix	six
foot	foot
tall	tall
af	as
tall	tall
as	as
george	george
clhis	ellis
thd	the
gorilla	gorilla
have	have
grav	gray
fur	fur
a	a
red	red
nosc	nose
and	and
cye	eye
people	people
iu	in
a	a
rush	rush
to	to
gel	get
to	to
a	a
tralfic	traffic
jam	jam
mile	mile
awav	away
on	on
thc	the
croff	cross
hronx	bronx
exprfsway	expressway
invariabuv	invariably
rubhcrseck	rubberneck
fr	for
tle	the
gorilha	gorilla
on	on
vesl	west
street	street
approximately	approximately
one	one
in	in
three	three
hundred	hundred
driver	driver
pnll	pull
over	over
hauf	half
the	the
timg	time
thc	the
drivtr	driver
aho	who
ftop	stop
juft	just
roll	roll
down	down
the	the
window	window
the	the
rest	rest
of	of
tbe	the
time	time
thcv	they
park	park
and	and
gel	get
hov	how
much	much
for	for
thc	the
gorilla	gorilla
aben	when
george	george
ellif	ellis
teul	tell
them	them
it	it
be	be
not	not
an	an
unreasonahle	unreasonable
pricc	price
actuahly	actually
it	it
be	be
a	a
fraction	fraction
of	of
what	what
a	a
live	live
gorilla	gorilla
would	would
eost	cost
they	they
cldnge	change
the	the
subject	subject
they	they
fay	say
oh	oh
wcll	well
low	how
muel	much
for	for
the	the
dameh	camel
with	with
tle	the
gold	gold
nefklafe	necklace
or	or
how	how
snfh	much
for	for
the	the
bepr	bear
with	with
the	the
lderhofen	lederhosen
a	a
young	young
man	man
in	in
a	a
buue	blue
buick	buick
may	may
hear	hear
tbe	the
gorilla	gorilla
s	s
price	price
and	and
afk	ask
hw	how
much	much
for	for
a	a
ppor	poor
boy	boy
he	he
ui	up
buy	buy
a	a
panda	panda
or	or
a	a
frog	frog
r	or
a	a
rabbit	rabbit
or	or
a	a
lamb	lamb
or	or
qute	quite
likcly	likely
nothng	nothing
tbe	the
gorilla	gorilla
would	would
look	look
dramatic	dramatic
ride	ride
off	off
in	in
somehody	somebody
f	s
blue	blue
bnck	buick
hut	but
this	this
uever	never
bappu	happen
george	george
ellil	ellis
helieve	believe
tlat	that
moft	most
peoplc	people
lend	tend
more	more
toward	toward
hamhurgcr	hamburger
tlan	than
toaard	toward
steak	steak
fome	some
time	time
ago	ago
george	george
ehlf	ellis
go	go
to	to
see	see
a	a
defigner	designer
in	in
brooklvu	brooklyn
and	and
delcribe	describe
how	how
a	a
cuftomhuilt	custombuilt
gorilla	gorilla
fhuhd	should
look	look
lhe	the
rcfultng	resulting
gorlla	gorilla
have	have
george	george
ellis	ellis
s	s
mouth	mouth
it	it
look	look
fkeptidal	skeptical
amufed	amused
and	and
relax	relax
be	be
black	black
and	and
hcftv	hefty
in	in
additin	addition
io	to
dlstribute	distribute
he	he
have	have
study	study
filmmakiug	filmmaking
at	at
nev	new
vork	york
univerfitv	university
work	work
af	as
a	a
fanitation	sanitation
mau	man
in	in
phoenx	phoenix
wberc	where
he	he
jick	pick
up	up
hairy	barry
goldwater	goldwater
f	s
garbage	garbage
tiice	twice
a	a
wcek	week
dihiuer	deliver
cakc	cake
in	in
bofton	boston
and	and
trade	trade
ride	rice
by	by
the	the
carload	carload
and	and
cement	cement
hv	by
the	the
megaton	megaton
be	he
enjoy	enjoy
peddle	peddle
on	on
west	west
ftreet	street
he	he
sav	say
becausc	because
pople	people
come	come
by	by
here	here
and	and
tbey	they
never	never
flop	stop
haugh	laugh
tbcy	they
migbt	might
buv	buy
wiihout	without
say	say
anything	anything
at	at
all	all
thev	they
jnft	just
laugb	laugh
tbcv	they
have	have
difiercnt	different
rca	rea
fon	son
a	a
guv	guy
miglt	might
buv	buy
a	a
grizzly	grizzly
bear	bear
becaufc	because
be	he
want	want
to	to
get	get
back	hack
in	in
the	the
house	house
on	on
sundav	sunday
a	a
not	not
very	very
hrmsk	brisk
businesf	business
day	day
a	a
red	red
tovta	toyota
iith	with
jerfey	jersey
license	license
plate	plate
ftop	stop
at	at
gcorge	george
ellif	ellis
f	s
phace	place
of	of
bnsineff	business
thc	the
driver	driver
a	a
middleaged	middleaged
man	man
stay	stay
in	in
the	the
car	car
while	while
hif	his
wife	wife
get	get
out	out
and	and
dicker	dicker
how	how
mucb	much
for	for
the	the
gorilla	gorilla
fhe	she
ask	ask
gerge	george
eulif	ellis
and	and
he	he
tell	tell
her	her
the	the
voman	woman
who	who
be	be
stockv	stocky
and	and
have	have
fhcrt	short
giay	gray
hair	hair
rcd	red
vinyl	vinyl
purse	purse
upon	upon
hear	hear
the	the
gorilla	gorilla
s	s
pride	price
fhe	she
afk	ask
iow	how
abont	about
somthing	something
for	for
tienty	twenty
dollar	dollar
hoa	how
about	about
fomething	something
for	for
fiftecn	fifteen
george	george
ellis	ellis
fay	say
be	he
hold	hold
up	up
a	a
heige	beige
ony	pony
ncc	nice
ponv	pony
you	you
can	can
nt	nt
leave	leave
a	a
pony	pony
llke	like
thif	this
out	out
on	on
the	the
fidewalk	sidewalk
ilth	with
a	a
light	light
clgarette	cigarette
in	in
bcr	her
hand	hand
tbs	the
woman	woman
iave	wave
tle	the
pony	pony
away	away
fle	she
have	have
bccome	become
interefted	interested
in	in
the	the
panda	panda
and	and
be	be
ftudy	study
one	one
that	that
be	be
red	red
and	and
whmtc	white
and	and
onl	one
that	that
be	be
vellow	yellow
and	and
copper	copper
vblch	which
color	color
hold	hold
np	up
hetter	better
fbe	she
afk	ask
i	i
do	do
nt	nt
know	know
cither	either
one	one
george	george
elif	ellis
lay	say
you	you
buv	buy
thif	this
for	for
a	a
bcv	boy
or	or
a	a
girl	girl
it	it
he	be
for	for
me	me
ob	oh
a	a
girl	girl
the	the
wcman	woman
examine	examine
lhe	the
redandwhite	redandwhite
panda	panda
clofehy	closely
this	this
panda	panda
f	s
dirty	dirty
fhe	she
complain	complain
that	that
be	be
not	not
dirt	dirt
georgc	george
ellf	ellis
say	say
tlat	that
be	be
juft	just
pure	pure
nea	new
voik	york
city	city
duft	dust
you	you
a	a
bit	bit
more	more
dcliheratc	deliberate
ibc	the
woman	woman
huv	buy
the	the
redandibite	redandwhite
pana	panda
and	and
four	four
little	little
teddy	teddy
hear	bear
thin	then
fle	she
contemplate	contemplate
a	a
grav	gray
lamb	lamb
how	how
much	much
fhe	she
afk	ask
three	three
dohlai	dollar
give	give
it	it
lo	to
me	me
ior	for
tao	two
no	no
taofifty	twofifty
he	be
it	it
vour	your
hirtlday	birthday
yeah	yeah
it	it
be	be
my	my
birtldav	birthday
lle	she
fmoke	smoke
her	her
cigarette	cigarette
no	no
it	it
be	be
uot	not
my	my
birthday	birthday
but	but
my	my
anuiverfary	anniversary
come	come
up	up
next	next
aeek	week
give	give
me	me
tao	two
dllar	dollar
and	and
lave	have
a	a
happy	happy
anniversary	anniversary
thif	this
victory	victory
make	make
the	the
voman	woman
fcel	feel
bold	bold
fhe	she
ieacb	reach
inlo	into
her	her
purfe	purse
to	to
get	get
two	two
dollar	dollar
from	from
her	her
wallet	wallet
and	and
vithout	without
look	look
up	up
lay	say
now	now
uet	let
hd	be
hear	hear
vou	you
dome	come
down	down
fome	some
on	on
thc	the
gorilla	gorilla
you	you
bave	have
get	get
cxpensive	expensive
lafte	taste
georgc	george
cluis	ellis
tehl	tell
her	her
all	all
you	you
need	need
he	be
monev	money
be	he
pack	pack
th	the
lamb	lamb
and	and
tlc	the
teddv	teddy
hear	bear
lnto	into
a	a
harg	large
jlaftic	plastic
bag	bag
along	along
vitb	with
tbe	the
ianda	panda
and	and
put	put
it	it
in	in
in	in
tle	the
frcnt	front
feat	seat
and	and
nod	nod
a	a
thank	thank
vou	you
and	and
tbcn	then
mhe	she
and	and
her	her
hufhand	husband
rejoin	rejoin
the	the
traflic	traffic
lead	head
nptoin	uptown
on	on
aeft	west
stieet	street
toward	toward
the	the
linchn	lincoln
tunncl	tunnel
and	and
new	new
jerfev	jersey
in	in
thcir	their
red	red
towota	toyota
a	a
lhdft	theft
from	from
vour	your
government	government
he	be
a	a
theft	theft
from	from
you	you
fo	so
read	read
tbe	the
ftcrn	stern
redandwhite	redandwhite
warniug	warning
sign	sign
put	put
up	up
hy	by
federah	federal
official	official
on	on
thoufandf	thousands
of	of
ahandon	abandon
home	home
acrojf	across
tbe	the
uf	us
thc	the
sigu	sign
be	be
mean	mean
to	to
difcurage	discourage
vandal	vandal
but	but
in	in
fact	fact
tl	the
houfe	house
tbemfelves	themselves
have	have
all	all
to	too
frequentlv	frequently
he	be
ue	use
and	and
difaard	discard
in	in
a	a
fcheme	scheme
that	that
coft	cost
tle	the
federal	federal
houfing	housing
ul	us
laft	last
week	week
the	the
department	department
of	of
housing	housing
and	and
urbau	urban
devehopment	development
whicl	which
ovcrsee	oversee
fha	fha
operaton	operation
eftimat	estimate
tbat	that
fince	since
tlc	the
government	government
lave	have
hose	lose
billion	billion
on	on
the	the
foreclofure	foreclosure
and	and
rclalc	resale
of	of
hme	home
originalus	originally
bny	buy
witb	with
loan	loan
p	p
wlen	when
the	the
fla	fha
be	be
crate	create
n	in
tbe	the
depth	depth
of	of
the	the
deprcffion	depression
in	in
itf	its
miffion	mission
be	be
to	to
stimulatc	stimulate
the	the
morihund	moribund
induftrv	industry
hy	by
guarantee	guarantee
government	government
rcpayment	repayment
of	of
loan	loan
make	make
to	to
ome	home
buver	buyer
for	for
the	the
next	next
three	three
decade	decade
the	the
agcucy	agency
pursue	pursue
a	a
confervatlve	conservative
johicy	policy
of	of
back	back
mortgage	mortgage
almoft	almost
exclusvelv	exclusively
in	in
lowriik	lowrisk
msddle	middle
and	and
a	a
fea	few
bigbincome	highincome
neiglborbood	neighborhood
but	but
during	during
lhe	the
late	late
f	s
after	after
fiery	fiery
roting	rioting
erupt	erupt
in	in
the	the
gbetto	ghetto
of	of
many	many
ul	us
city	city
fha	fha
s	s
policy	policy
change	change
fongiesf	congress
in	in
autlorize	authorize
tbe	the
agency	agency
lo	to
blj	help
poorly	poorly
house	house
lowinome	lowincome
family	family
bv	by
infure	insure
and	and
in	in
fme	some
dafe	case
fubfidize	subsidize
ther	their
mortgagc	mortgage
and	and
rent	rent
the	the
result	result
be	be
a	a
flarp	sharp
incieafc	increase
in	in
fla	fha
loan	loan
adtivty	activity
tbat	that
do	do
help	help
the	the
urban	urban
poor	poor
hut	but
alfo	also
attract	attract
the	the
attcntion	attention
of	of
unscrupulous	unscrupulous
real	real
cltate	estate
broker	broker
building	building
contractor	contractor
and	and
mortgage	mortgage
banker	banker
p	p
over	over
the	the
past	past
our	four
vcar	year
major	major
scandal	scandal
iniolvc	involve
fha	fha
loan	loan
havc	have
hc	be
unovr	uncover
in	in
clty	city
acrosf	across
the	the
ul	us
the	the
late	late
bc	be
ehicago	chicago
where	where
the	the
tribune	tribune
recenty	recently
turn	turn
up	up
dozenf	dozens
o	of
cafe	case
of	of
mortgage	mortgage
fhcnaigan	shenanigan
tbai	that
have	have
coft	cost
the	the
goveinment	government
mlhlinf	millions
of	of
dohlar	dollar
oflen	often
reau	real
ftate	estate
dealcr	dealer
wonld	would
lure	lure
a	a
lowincome	lowincome
family	family
lnto	into
buy	buy
a	a
ghetto	ghetto
loufe	house
perhajs	perhaps
by	by
put	put
up	up
pari	part
of	of
the	the
down	down
pavment	payment
the	the
company	company
would	would
tlen	then
lecure	secure
fh	fha
lusnrane	insurance
for	for
tbe	the
mortgage	mortgage
on	on
thc	the
houle	house
tvpicallv	typically
bafe	base
on	on
an	an
unrealifticaly	unrealistically
bigb	high
appraifal	appraisal
that	that
inattentiae	inattentive
lla	fha
official	official
do	do
not	not
queftion	question
after	after
thc	the
finncahlv	financially
strap	strap
tcnant	tenant
let	let
tb	the
houfe	house
falu	fall
aparl	apart
and	and
move	move
out	out
the	the
mortgage	mortgage
company	company
would	would
foreclofc	foreclose
it	it
iould	would
then	then
colhect	collect
a	a
fat	fat
check	check
from	from
thc	the
agency	agency
in	in
vith	with
a	a
houfe	house
that	that
couhd	could
be	be
resell	resell
onlv	only
at	at
a	a
heavy	heavy
loff	loss
p	p
task	task
forcc	force
in	in
tle	the
clicago	chicago
area	area
where	where
tl	the
number	number
of	of
house	house
bavc	have
rise	rise
from	from
a	a
fcw	few
hundrd	hundred
in	in
the	the
late	late
f	s
to	to
at	at
present	present
foieclofurn	foreclosure
occur	occur
feven	seven
time	time
more	more
frcquentlv	frequently
on	on
llainfured	fhainsured
mortgage	mortgage
than	than
on	on
convntional	conventional
mrtgage	mortgage
upset	upset
by	by
the	the
trihune	tribune
f	s
revelation	revelation
mayor	mayor
richard	richard
daley	daley
persuade	persuade
tle	the
fla	fha
to	to
dancel	cancel
an	an
auction	auction
of	of
foreclosed	foreclosed
bouse	house
scledule	schedule
for	for
laft	last
monlh	month
whlle	while
a	a
federalcity	federalcity
tafk	task
frce	force
lnfpcct	inspect
them	them
lo	to
detormine	determine
their	their
ftneff	fitness
for	for
habilation	habitation
thc	the
local	local
uf	us
attorney	attorney
be	be
inveftigate	investigate
allgation	allegation
againft	against
six	six
mortgage	mortgage
lender	lender
for	for
fraud	fraud
vlen	when
japaneje	japanese
conductcr	conductor
feiji	seiji
ozawa	ozawa
g	go
homc	home
for	for
a	a
vifit	visit
iith	with
hif	his
orclestra	orchestra
the	the
boston	boston
fymphony	symphony
hast	last
marcb	march
he	he
take	take
time	time
out	out
for	for
a	a
fpedial	special
projcct	project
a	a
lngplanned	longplanned
tv	tv
feries	series
on	on
japanefe	japanese
oichcftra	orchestra
af	as
pait	part
of	of
the	the
scrief	series
tokyo	tokyo
f	s
gaknfbuin	gakushuin
univerfity	university
orchftra	orchestra
perform	perform
tbe	the
tbird	third
mvement	movement
of	of
hrahmf	brahms
fourth	fourth
svmpbonv	symphony
and	and
viewer	viewer
get	get
tbe	the
rcyal	royal
treatment	treatment
in	in
tbe	the
string	string
section	section
f	of
tbe	the
orcheftra	orchestra
be	be
prinfe	prince
liro	hiro
ldeft	eldest
fon	son
of	of
crwn	crown
prince	prince
akihlto	akihito
and	and
princess	princess
midlfko	michiko
tbe	the
prince	prince
a	a
frcfhman	freshman
have	have
choofe	choose
to	to
iollow	follow
in	in
hif	his
fatlei	father
f	s
footftep	footstep
and	and
attend	attend
a	a
public	public
univerfity	university
and	and
like	like
hoth	both
hf	his
parent	parent
with	with
vhom	whom
hd	he
play	play
in	in
a	a
tri	trio
dt	at
tbe	the
palace	palace
hif	his
father	father
he	be
an	an
accomplifhed	accomplished
cellist	cellist
and	and
hif	his
mother	mother
play	play
the	the
piano	piano
and	and
barp	harp
hiro	hiro
be	be
devotc	devote
to	to
music	music
vhen	when
he	he
join	join
thy	the
gakulluln	gakushuin
orchestra	orchestra
hc	he
put	put
afde	aside
the	the
violin	violin
he	he
have	have
play	play
since	since
kindcrgartcn	kindergarten
and	and
faitch	switch
t	to
lhe	the
viola	viola
bv	by
perform	perform
wtl	with
a	a
low	low
regilter	register
instrument	instrument
fay	say
the	the
prlnfe	prince
he	he
can	can
better	better
hear	hear
truckin	truckin
dborah	deborah
raffin	raffin
be	be
rev	rev
up	up
fo	fo
her	her
oue	role
in	in
a	a
march	march
dbs	cbs
movie	movie
vihla	willa
raffn	raffin
play	play
a	a
waitreff	waitress
vbo	who
take	take
up	up
truk	truck
driv	drive
aler	after
ler	her
hulband	husband
abandon	abandon
her	her
and	and
tl	the
kid	kid
to	to
prepame	prepare
for	for
tle	the
role	role
shc	she
put	put
n	in
hour	hour
learn	learn
bov	how
to	to
drivc	drive
a	a
rig	rig
it	it
he	be
fo	so
poeriuu	powerful
you	you
could	could
almft	almost
run	run
down	down
a	a
streel	street
lght	light
and	and
noi	not
know	know
lt	it
lay	say
raffin	raffin
i	i
he	be
petrfied	petrified
hut	but
the	the
frigbt	fright
be	be
vorth	worth
it	it
raffin	raffin
think	think
hecause	because
the	the
film	film
flow	show
how	how
well	well
woman	woman
can	can
cope	cope
on	on
tbeir	their
wn	own
ler	her
hope	hope
willa	willa
will	will
be	be
tv	tv
be	be
an	an
unmarried	unmarried
woman	woman
p	p
p	p
clad	clad
in	in
blue	blue
jean	jean
and	and
tote	tote
a	a
brovn	brown
paper	paper
hag	bag
fill	fill
with	with
bif	his
belongingf	belongings
haldeman	haldeman
say	say
farevelu	farewell
t	to
jail	jail
uast	last
week	week
have	have
fcrve	serve
month	month
in	in
fcderal	federal
prison	prison
un	in
lompoc	lompoc
for	for
his	his
part	part
in	in
thc	the
wateigate	watergate
coverup	coverup
richard	richard
nixon	nixon
s	s
former	former
chief	chief
of	of
ftaff	staff
bc	be
parol	parol
in	in
time	time
for	for
chrstmaf	christmas
thif	this
be	be
gencrally	generally
consider	consider
it	it
fure	sure
be	be
for	for
me	me
iay	say
laudemau	haldeman
teo	two
day	day
later	later
joln	john
mltclell	mitchell
tle	the
laft	last
of	of
the	the
wateigate	watergate
gang	gang
ftill	still
bchind	behind
bar	bar
hc	be
permit	permit
a	a
fivedav	fiveday
chriftmaf	christmas
fnreougb	furlough
p	p
p	p
the	the
fubjcdt	subject
be	be
bard	hard
to	to
please	please
the	the
first	first
oifcial	official
portrait	portrait
of	of
henrv	henry
kifflnger	kissinger
paint	paint
bv	by
hoslon	boston
artist	artist
gardncr	gardner
dox	cox
and	and
fommiffion	commission
to	to
lang	hang
n	in
tle	the
state	state
departmnt	department
be	be
veto	veto
kifiingcr	kissinger
do	do
not	not
like	like
il	it
le	he
he	be
pleafcd	pleased
howevcr	however
by	by
a	a
fccond	second
attempt	attempt
ba	by
houfion	houston
artift	artist
ja	ja
antlony	anthony
wiul	will
it	it
be	be
an	an
exccllent	excellent
likcnefs	likeness
swell	swell
lcad	head
and	and
auh	all
pronounce	pronounce
kiffingcr	kissinger
last	last
week	week
le	he
do	do
nt	nt
evcn	even
mind	mind
that	that
wilu	will
have	have
painl	paint
out	out
the	the
fdepter	scepter
in	in
fact	fact
quip	quip
the	the
former	former
secretary	secretary
of	of
ftate	state
tlc	the
unvcil	unveil
be	be
one	one
of	of
my	my
moft	most
fuufil	fulfil
momcnt	moment
until	until
they	they
d	do
mount	mount
rufbmore	rushmore
artist	artist
will	will
too	too
feh	feel
fuhfil	fulfil
unlke	unlike
cox	cox
wbo	who
be	be
eav	pay
only	only
in	in
cxpense	expense
for	for
hif	his
rejeft	reject
pictnre	picture
wihl	will
will	will
collect	collect
a	a
lec	fee
of	of
lc	he
iill	will
be	be
tle	the
last	last
painter	painter
in	in
the	the
luture	future
all	all
fficl	official
portrait	portrait
he	be
dolor	color
photograpl	photograph
p	p
on	on
the	the
rceord	record
p	p
nguven	nguyen
fao	cao
kv	ky
former	former
premicr	premier
of	of
south	south
viet	viet
nam	nam
wbo	who
noa	now
own	own
a	a
uiquoi	liquor
stor	store
in	in
buntngton	huntington
bach	beach
calif	calif
l	i
be	be
not	not
americauized	americanized
vet	yet
i	i
do	do
nt	not
vafh	wash
dish	dish
coulege	college
admlffion	admission
olicer	officer
acrofs	across
the	the
cuntry	country
lave	have
promise	promise
the	the
iidst	widest
poffihle	possible
latitude	latitude
to	to
hgb	high
fehol	school
scnior	senior
lere	here
to	to
assure	assure
that	that
thcy	they
wiul	will
not	not
be	he
penalize	penalize
af	as
a	a
result	result
of	of
the	the
teacler	teacher
flrike	strike
that	that
have	have
kcep	keep
ftudent	student
ont	out
of	of
fchoo	school
for	for
all	all
hut	but
dav	day
fince	since
lhe	the
board	board
of	of
education	education
f	s
director	director
of	of
ccllege	college
guidance	guidance
say	say
yesterday	yesterday
tlat	that
tle	the
cohlegc	college
offical	official
be	be
prepare	prepare
to	to
heup	help
tbe	the
student	student
atl	with
refpect	respect
to	to
deaduine	deadline
apjlucation	application
form	form
and	and
otber	other
requirement	requirement
to	to
meet	meet
the	the
cmergencv	emergency
many	many
colaege	college
he	be
even	even
prepare	prepare
to	to
offer	offer
the	the
citv	city
f	s
public	public
lugh	high
sclool	school
fenior	senior
fome	some
of	of
the	the
advifoiv	advisory
fervice	service
thev	they
would	would
normallv	normally
get	get
from	from
their	their
oin	own
guidince	guidance
counsdlor	counselor
haroud	harold
zuckcrman	zuckerman
tbe	the
board	board
or	or
educallon	education
s	s
expert	expert
on	on
colucgc	college
admilsion	admission
calu	call
on	on
public	public
high	high
fchoou	school
senior	senior
and	and
tleir	their
parcnt	parent
lo	to
avod	avoid
hvsteria	hysteria
and	and
misinformation	misinformation
and	and
t	to
take	take
fuuu	full
advantage	advantage
of	of
a	a
vaiietv	variety
of	of
otion	option
ta	to
protect	protect
tlemr	their
chance	chance
of	of
cllege	college
admission	admission
the	the
affurance	assurance
b	be
ofer	offer
as	as
dri	dri
james	james
c	e
allen	allen
the	the
ltate	state
edncation	education
commffioncr	commissioner
conduct	conduct
secret	secret
negotation	negotiation
here	here
ycfterdav	yesterday
in	in
an	an
teacber	teacher
firike	strike
hc	he
be	be
try	try
to	to
win	win
support	support
for	for
fome	some
varaton	variation
of	of
a	a
pian	plan
hc	he
fuggeft	suggest
laft	last
tucsdav	tuesday
but	but
which	which
be	be
rjct	reject
bv	by
the	the
unlted	united
federation	federation
o	of
tcacler	teacher
this	this
be	be
the	the
proposal	proposal
tbat	that
hle	hie
state	state
a	a
trustee	trustee
fr	for
the	the
dontroversial	controversial
grtan	groan
broansiillg	brownsville
suhool	school
district	district
of	of
brooklvn	brooklyn
to	to
afsure	assure
union	union
teacher	teacher
they	they
wouud	would
not	not
he	be
harafs	harass
if	if
they	they
ieturn	return
to	to
clalfroom	classroom
dutv	duty
n	in
an	an
interview	interview
on	on
coilge	college
admiffion	admission
dri	dri
zuckermau	zuckerman
urge	urge
all	all
concerned	concerned
to	to
make	make
maximum	maximum
ufe	use
of	of
tle	the
extraordinary	extraordinary
confideration	consideration
promfe	promise
bv	by
the	the
coulege	college
but	but
he	he
also	also
aarn	warn
studnt	student
that	that
rather	rather
than	than
succumb	succumb
to	to
panic	panic
thcv	they
mufl	must
sbow	show
initativd	initiative
in	in
feek	seek
out	out
coliege	college
opportunlty	opportunity
for	for
example	example
canddate	candidate
ior	for
graduation	graduation
in	in
january	january
who	who
expect	expect
to	to
dnter	enter
any	any
unlt	unit
of	of
the	the
city	city
aniversity	university
of	of
ni	new
york	york
hotl	both
fenior	senior
or	or
community	community
collcge	college
be	be
direft	direct
to	to
caul	call
lo	to
make	make
appointment	appointment
with	with
the	the
unlverfity	university
s	s
counfelor	counselor
iho	who
he	be
afsift	assist
studcnt	student
in	in
complete	complete
application	application
lor	for
admiffion	admission
next	next
iebruarv	february
transcriut	transcript
ol	of
high	high
school	school
grade	grade
for	for
tbefe	these
student	student
be	be
availablc	available
tn	in
tbe	the
data	data
process	process
bank	bank
fet	set
u	up
by	by
tle	the
univerfity	university
ln	in
the	the
case	case
of	of
otber	other
college	college
and	and
university	university
ajplicant	applicant
fo	for
both	both
spring	spring
and	and
fauh	fall
admiffion	admission
be	be
dirct	direct
to	to
vritc	write
immediatelv	immediately
to	to
tbc	the
folhcge	college
of	of
their	their
choice	choice
request	request
the	the
neceffarv	necessary
fcrm	form
and	and
if	if
require	require
financial	financial
aid	aid
applifation	application
hlank	blank
for	for
a	a
parent	parent
s	s
confidential	confidential
form	form
honestv	honesty
he	be
ftrefs	stress
dri	dri
zukerman	zuckerman
fay	say
apjicant	applicant
fhonld	should
complete	complete
the	the
applicatlon	application
form	form
and	and
prejare	prepare
an	an
inlormal	informal
tranfcript	transcript
of	of
ther	their
first	first
three	three
ycar	year
of	of
ligh	high
scbool	school
giade	grade
by	by
refer	refer
to	to
old	old
report	report
card	card
or	or
from	from
memry	memory
ftudeft	student
ilo	who
lave	have
take	take
fudh	such
natuonal	national
examinaton	examination
as	as
the	the
prliminary	preliminary
lcholaltic	scholastic
aptitude	aptitude
teft	test
cr	or
anv	any
otler	other
tcst	test
adminifter	administer
by	by
tle	the
college	college
cntrance	entrance
examination	examination
hoard	board
shuld	should
add	add
their	their
score	score
to	to
the	the
homcmade	homemade
transcrpt	transcript
so	so
lhat	that
the	the
college	college
mav	may
make	make
tbe	the
heft	best
pofsbl	possible
eftlmate	estimate
of	of
thvir	their
generau	general
academic	academic
achievcmen	achievement
af	as
foon	soon
af	as
fcbool	school
reopcn	reopen
olfidiah	official
lranscript	transcript
wihl	will
be	be
available	available
and	and
should	should
then	then
he	be
forward	forward
lo	to
the	the
coilege	college
prepare	prepare
an	an
individual	individual
tranfcript	transcript
af	as
recommcnd	recommend
berc	here
test	test
the	the
lntegritv	integrity
of	of
the	the
ftndent	student
and	and
great	great
care	care
and	and
honefty	honesty
fboud	should
therefore	therefore
go	go
into	into
tle	the
effort	effort
dii	dri
zuckerman	zuckerman
sav	say
be	he
add	add
that	that
hs	his
offlce	office
make	make
everv	every
effort	effort
to	to
flart	start
proces	process
the	the
studcnt	student
application	application
and	and
would	would
eftabuifh	establish
mail	mail
and	and
telephone	telephone
communication	communication
witl	with
lhem	them
moft	most
of	of
thefe	these
cllege	college
official	official
have	have
also	also
assuie	assure
the	the
hard	board
of	of
cducation	education
that	that
tbev	they
vould	would
add	add
fpcial	special
guidancc	guidance
and	and
advifomy	advisory
fervice	service
for	for
lhe	the
citv	city
f	s
youngfter	youngster
to	to
make	make
up	up
for	for
any	any
ladk	lack
of	of
themr	their
own	own
bigh	high
lchool	school
fervce	service
tlis	this
mean	mean
tbat	that
tlcy	they
be	be
prepare	prepare
to	to
answer	answer
queftion	question
about	about
college	college
and	and
career	career
choice	choice
and	and
advife	advise
studenl	student
where	where
plfe	else
to	to
apply	apply
u	in
inftance	instance
oi	of
apparentlv	apparently
inapproprlate	inappropriate
felection	selection
tbe	the
next	next
daie	date
for	for
